,Algorithm,n_estimators,eta,max_depth,n_neighbors,AUC
0,['Decision Tree'],[0],[0],[2],[0],['0.6511402500846861']
1,['Decision Tree'],[0],[0],[5],[0],['0.7522224455576348']
2,['Decision Tree'],[0],[0],[7],[0],['0.8080398175818292']
3,['Decision Tree'],[0],[0],[10],[0],['0.8426910791303357']
4,['Decision Tree'],[0],[0],[15],[0],['0.8523209109205426']
5,['Decision Tree'],[0],[0],[20],[0],['0.8481983634844651']
6,['Random Forest'],[100],[0],[2],[0],['0.7479011066829224']
7,['Random Forest'],[100],[0],[3],[0],['0.7788866772085099']
8,['Random Forest'],[100],[0],[4],[0],['0.8110409682548179']
9,['Random Forest'],[100],[0],[5],[0],['0.8459551983244141']
10,['Random Forest'],[100],[0],[6],[0],['0.8803470155327269']
11,['Random Forest'],[200],[0],[2],[0],['0.7490250709348674']
12,['Random Forest'],[200],[0],[3],[0],['0.781123380628876']
13,['Random Forest'],[200],[0],[4],[0],['0.8140700050027672']
14,['Random Forest'],[200],[0],[5],[0],['0.8480166468630209']
15,['Random Forest'],[200],[0],[6],[0],['0.8822104060957029']
16,['Random Forest'],[500],[0],[2],[0],['0.7501693530984039']
17,['Random Forest'],[500],[0],[3],[0],['0.7818020959894476']
18,['Random Forest'],[500],[0],[4],[0],['0.8148578228181995']
19,['Random Forest'],[500],[0],[5],[0],['0.8496165750140783']
20,['Random Forest'],[500],[0],[6],[0],['0.8824768762552452']
21,['Random Forest'],[1000],[0],[2],[0],['0.7498089903688079']
22,['Random Forest'],[1000],[0],[3],[0],['0.7809894441595203']
23,['Random Forest'],[1000],[0],[4],[0],['0.8139717469066394']
24,['Random Forest'],[1000],[0],[5],[0],['0.8483930261560154']
25,['Random Forest'],[1000],[0],[6],[0],['0.8815416019415657']
26,['KNN'],[0],[0],[0],[3],['0.8585166386847657']
27,['KNN'],[0],[0],[0],[5],['0.8735431184199796']
28,['KNN'],[0],[0],[0],[7],['0.8731515226930998']
29,['KNN'],[0],[0],[0],[11],['0.8615182796371013']
30,['XGBoost'],[100],[0.01],[2],[0],['0.7750175220972925']
31,['XGBoost'],[100],[0.01],[3],[0],['0.8214576344251489']
32,['XGBoost'],[100],[0.01],[4],[0],['0.855592107509645']
33,['XGBoost'],[100],[0.01],[5],[0],['0.884880191806019']
34,['XGBoost'],[100],[0.01],[6],[0],['0.9098489558231956']
35,['XGBoost'],[200],[0.01],[2],[0],['0.7969835219037917']
36,['XGBoost'],[200],[0.01],[3],[0],['0.8426184938846516']
37,['XGBoost'],[200],[0.01],[4],[0],['0.8777785106611342']
38,['XGBoost'],[200],[0.01],[5],[0],['0.9082830147270192']
39,['XGBoost'],[200],[0.01],[6],[0],['0.9293380972076042']
40,['XGBoost'],[500],[0.01],[2],[0],['0.8360119465368718']
41,['XGBoost'],[500],[0.01],[3],[0],['0.8826551002222212']
42,['XGBoost'],[500],[0.01],[4],[0],['0.9160595237292644']
43,['XGBoost'],[500],[0.01],[5],[0],['0.9392355715043813']
44,['XGBoost'],[500],[0.01],[6],[0],['0.9546832057565476']
45,['XGBoost'],[1000],[0.01],[2],[0],['0.8649344569460651']
46,['XGBoost'],[1000],[0.01],[3],[0],['0.9123855052507883']
47,['XGBoost'],[1000],[0.01],[4],[0],['0.942009620351621']
48,['XGBoost'],[1000],[0.01],[5],[0],['0.959005515829164']
49,['XGBoost'],[1000],[0.01],[6],[0],['0.9677455918593593']
50,['XGBoost'],[100],[0.1],[2],[0],['0.866568407269044']
51,['XGBoost'],[100],[0.1],[3],[0],['0.9141110738512849']
52,['XGBoost'],[100],[0.1],[4],[0],['0.9428838678912431']
53,['XGBoost'],[100],[0.1],[5],[0],['0.9598175790568455']
54,['XGBoost'],[100],[0.1],[6],[0],['0.9688077176135874']
55,['XGBoost'],[200],[0.1],[2],[0],['0.8973357742696451']
56,['XGBoost'],[200],[0.1],[3],[0],['0.940542731075432']
57,['XGBoost'],[200],[0.1],[4],[0],['0.9622895079103116']
58,['XGBoost'],[200],[0.1],[5],[0],['0.971741608888405']
59,['XGBoost'],[200],[0.1],[6],[0],['0.9767062232470277']
60,['XGBoost'],[500],[0.1],[2],[0],['0.9319127302655899']
61,['XGBoost'],[500],[0.1],[3],[0],['0.9635716434745598']
62,['XGBoost'],[500],[0.1],[4],[0],['0.9745216450206318']
63,['XGBoost'],[500],[0.1],[5],[0],['0.9780397372481506']
64,['XGBoost'],[500],[0.1],[6],[0],['0.9797768671390295']
65,['XGBoost'],[1000],[0.1],[2],[0],['0.9508883880551474']
66,['XGBoost'],[1000],[0.1],[3],[0],['0.9716113574052165']
67,['XGBoost'],[1000],[0.1],[4],[0],['0.9775018370904845']
68,['XGBoost'],[1000],[0.1],[5],[0],['0.9790014186892361']
69,['XGBoost'],[1000],[0.1],[6],[0],['0.9801720031430478']
70,['XGBoost'],[100],[0.3],[2],[0],['0.9154857805952649']
71,['XGBoost'],[100],[0.3],[3],[0],['0.9543017535818438']
72,['XGBoost'],[100],[0.3],[4],[0],['0.9694500111604704']
73,['XGBoost'],[100],[0.3],[5],[0],['0.9754857728708519']
74,['XGBoost'],[100],[0.3],[6],[0],['0.9785437241007496']
75,['XGBoost'],[200],[0.3],[2],[0],['0.9400550029523668']
76,['XGBoost'],[200],[0.3],[3],[0],['0.9670356783902256']
77,['XGBoost'],[200],[0.3],[4],[0],['0.975628394885601']
78,['XGBoost'],[200],[0.3],[5],[0],['0.9783554882471892']
79,['XGBoost'],[200],[0.3],[6],[0],['0.9800084138156416']
80,['XGBoost'],[500],[0.3],[2],[0],['0.9579851963073471']
81,['XGBoost'],[500],[0.3],[3],[0],['0.9737156647882717']
82,['XGBoost'],[500],[0.3],[4],[0],['0.9781953419714601']
83,['XGBoost'],[500],[0.3],[5],[0],['0.9794781704582329']
84,['XGBoost'],[500],[0.3],[6],[0],['0.9801559582682866']
85,['XGBoost'],[1000],[0.3],[2],[0],['0.9643583706280177']
86,['XGBoost'],[1000],[0.3],[3],[0],['0.9758067206628125']
87,['XGBoost'],[1000],[0.3],[4],[0],['0.9784552729434708']
88,['XGBoost'],[1000],[0.3],[5],[0],['0.9793353700436598']
89,['XGBoost'],[1000],[0.3],[6],[0],['0.9800909374194932']
